Player,Position,League,MarketValue,ProgressivePasses,Tackles,Interceptions,xG,Age
Santi Rodriguez,Forward,La Liga,2.74,2.48,-0.1,0.24,0.33,23
Lucas Garcia,Defender,Premier League,38.99,1.1,2.91,1.06,0.02,21
Lucas Rodriguez,Forward,Ligue 1,33.56,1.96,1.15,2.08,0.05,29
Diego Costa,Midfielder,Ligue 1,31.01,4.48,2.52,1.92,0.15,19
Marco Oliveira,Defender,Premier League,27.22,2.04,2.53,-0.17,0.12,30
Hugo Fernandez,Defender,La Liga,2.6,0.99,0.85,0.03,0.46,17
Lucas Costa,Goalkeeper,Ligue 1,6.53,3.14,2.42,1.11,0.06,27
Santi Martinez,Defender,Premier League,13.38,1.65,0.42,0.2,0.42,25
Santi Diaz,Defender,Premier League,23.3,1.64,1.6,2.65,0.04,30
Lucas Rodriguez,Forward,Bundesliga,29.17,1.99,2.55,3.11,0.08,27
Santi Santos,Goalkeeper,Ligue 1,11.11,0.97,1.55,1.01,0.04,24
Santi Lopez,Defender,Bundesliga,3.5,2.59,0.98,3.32,0.02,31
Leo Lopez,Goalkeeper,Serie A,16.19,1.19,2.49,2.4,0.07,19
Diego Santos,Midfielder,Bundesliga,30.46,0.78,0.31,0.3,0.55,17
Hugo Santos,Forward,Serie A,31.64,1.21,0.35,0.35,0.34,25
Diego Martinez,Defender,Ligue 1,34.82,2.66,2.52,1.87,0.04,25
Marco Silva,Midfielder,La Liga,13.86,0.97,2.71,1.01,0.06,33
Diego Garcia,Defender,La Liga,23.11,1.18,-0.25,2.39,0.12,22
Gabriel Fernandez,Forward,Premier League,12.02,0.76,1.49,1.65,0.15,23
Marco Martinez,Goalkeeper,Bundesliga,15.66,1.43,2.49,1.09,0.08,23
Santi Diaz,Goalkeeper,Premier League,22.62,-0.1,2.19,1.16,0.12,34
Gabriel Santos,Defender,Bundesliga,37.16,1.58,1.75,2.34,0.12,24
Hugo Lopez,Defender,Ligue 1,4.67,0.3,0.53,0.2,0.53,22
Mateo Costa,Goalkeeper,La Liga,10.61,5.71,1.15,1.21,0.14,24
Diego Diaz,Goalkeeper,La Liga,39.89,1.25,2.23,2.43,0.06,25
Santi Costa,Forward,Ligue 1,16.02,0.67,2.12,1.56,0.09,23
Gabriel Diaz,Midfielder,La Liga,38.31,0.85,1.06,2.85,0.11,17
Lucas Silva,Defender,Ligue 1,33.61,1.06,0.63,0.17,0.52,29
Leo Oliveira,Midfielder,La Liga,14.83,1.46,1.53,1.05,0.06,31
Enzo Fernandez,Defender,Ligue 1,7.68,1.98,1.25,1.36,0.06,29
Enzo Lopez,Forward,La Liga,27.49,2.78,0.97,0.78,0.11,22
Julian Garcia,Midfielder,La Liga,37.94,-0.04,0.28,0.26,0.15,28
Santi Rodriguez,Goalkeeper,Bundesliga,32.67,2.41,2.7,2.56,0.04,31
Gabriel Oliveira,Goalkeeper,Premier League,30.12,0.97,2.75,2.22,0.06,31
Julian Costa,Goalkeeper,Premier League,20.4,2.07,2.15,1.76,0.08,25
Julian Lopez,Goalkeeper,Premier League,33.4,2.16,2.86,2.52,0.06,32
Gabriel Silva,Goalkeeper,Serie A,12.56,1.39,1.85,1.72,0.07,25
Gabriel Costa,Midfielder,Premier League,2.69,0.81,0.52,0.15,0.44,20
Santi Diaz,Goalkeeper,Premier League,7.0,0.71,1.9,1.5,0.09,32
Marco Diaz,Forward,Bundesliga,29.54,2.61,1.3,1.5,0.03,24
Diego Garcia,Forward,Premier League,32.61,2.45,0.25,2.42,0.05,29
Lucas Diaz,Goalkeeper,Ligue 1,15.2,2.07,1.21,1.99,0.02,26
Mateo Fernandez,Defender,Premier League,23.07,-0.02,0.38,0.1,0.34,26
Leo Rodriguez,Midfielder,La Liga,29.4,2.13,4.49,1.02,0.07,19
Leo Garcia,Goalkeeper,Serie A,13.87,1.53,0.34,2.6,0.06,22
Hugo Fernandez,Defender,La Liga,24.99,0.81,2.72,3.25,0.06,28
Enzo Diaz,Forward,Bundesliga,12.97,2.36,0.98,1.1,0.21,28
Leo Rodriguez,Goalkeeper,Premier League,20.24,2.59,2.01,3.06,0.06,18
Marco Silva,Defender,Serie A,17.47,1.47,1.74,1.24,0.01,20
Mateo Fernandez,Defender,Serie A,19.46,1.43,0.34,0.26,0.25,29
Mateo Lopez,Goalkeeper,La Liga,31.97,0.44,0.16,0.27,0.42,21
Hugo Martinez,Goalkeeper,Premier League,31.74,1.19,-0.03,0.17,0.23,19
Leo Garcia,Midfielder,Premier League,21.05,2.46,1.15,2.02,0.07,27
Enzo Santos,Midfielder,Ligue 1,38.42,2.45,2.57,1.78,0.03,30
Gabriel Lopez,Forward,Ligue 1,16.08,0.47,2.16,1.3,0.02,22
Mateo Rodriguez,Goalkeeper,Bundesliga,37.98,0.81,1.98,1.35,0.06,32
Marco Santos,Defender,La Liga,8.71,2.94,1.82,0.96,0.15,29
Leo Oliveira,Defender,Ligue 1,12.55,0.99,1.66,1.78,0.06,27
Lucas Martinez,Goalkeeper,Ligue 1,18.27,1.39,1.02,2.31,0.1,27
Enzo Lopez,Forward,Premier League,29.45,2.4,0.78,1.46,0.09,20
Marco Silva,Midfielder,Premier League,19.32,0.36,1.34,3.67,0.05,33
Santi Oliveira,Forward,Serie A,28.98,-0.03,3.36,2.12,0.05,31
Julian Santos,Defender,La Liga,29.83,1.37,2.08,3.53,0.13,22
Lucas Rodriguez,Defender,Serie A,6.69,1.64,0.45,0.08,0.44,30
Hugo Diaz,Goalkeeper,Ligue 1,31.34,0.86,0.44,0.27,0.54,20
Marco Silva,Goalkeeper,La Liga,5.28,0.79,4.28,0.88,0.1,32
Hugo Diaz,Goalkeeper,La Liga,4.86,0.75,2.75,2.62,0.06,25
Hugo Martinez,Defender,Ligue 1,17.77,2.11,3.09,2.55,0.06,33
Diego Oliveira,Defender,La Liga,1.43,4.61,0.82,1.2,0.08,28
Hugo Garcia,Goalkeeper,La Liga,33.58,0.47,-0.02,0.19,0.23,24
Enzo Fernandez,Midfielder,Bundesliga,27.38,5.86,1.06,0.91,0.06,18
Hugo Santos,Midfielder,Bundesliga,4.95,2.48,2.82,1.5,0.07,19
Santi Lopez,Defender,Bundesliga,5.69,2.15,1.33,2.54,0.1,18
Lucas Silva,Forward,Premier League,18.16,0.33,1.4,0.7,0.06,34
Julian Fernandez,Goalkeeper,Ligue 1,9.32,0.48,1.1,1.49,0.06,19
Leo Martinez,Midfielder,Premier League,18.06,3.24,2.05,1.05,0.19,17
Mateo Garcia,Midfielder,La Liga,35.13,1.12,2.27,1.74,0.07,31
Mateo Rodriguez,Midfielder,Ligue 1,20.33,1.19,-0.07,0.14,0.26,21
Leo Garcia,Defender,Ligue 1,21.26,1.28,0.53,0.24,0.28,31
Marco Costa,Forward,Ligue 1,34.26,1.04,0.4,0.33,0.31,18
Diego Fernandez,Forward,Premier League,16.69,3.02,1.56,0.36,0.1,30
Marco Oliveira,Midfielder,Bundesliga,17.18,1.14,0.33,0.08,-0.16,21
Hugo Costa,Goalkeeper,Ligue 1,17.09,-0.02,1.77,1.18,0.05,25
Gabriel Garcia,Goalkeeper,Premier League,24.72,0.07,0.83,1.09,0.06,31
Julian Silva,Forward,La Liga,15.99,2.86,1.55,0.85,0.11,33
Santi Costa,Goalkeeper,Serie A,32.99,0.97,0.43,0.3,0.55,33
Marco Rodriguez,Defender,Premier League,36.28,0.68,0.31,0.26,0.02,33
Julian Diaz,Midfielder,Premier League,19.54,2.01,2.4,2.0,0.05,24
Enzo Garcia,Goalkeeper,Ligue 1,11.25,3.6,-0.23,0.99,0.08,28
Enzo Garcia,Defender,Bundesliga,2.08,0.52,0.65,0.2,0.3,26
Gabriel Diaz,Midfielder,Ligue 1,10.37,0.87,0.45,2.37,0.07,25
Santi Diaz,Defender,La Liga,31.03,3.88,1.22,0.2,0.14,21
Enzo Costa,Midfielder,Ligue 1,12.52,1.29,3.0,1.78,0.03,30
Hugo Silva,Goalkeeper,Ligue 1,13.77,1.22,0.25,0.15,0.55,27
Julian Santos,Goalkeeper,Bundesliga,36.27,1.07,1.27,2.2,0.04,31
Hugo Silva,Goalkeeper,La Liga,35.8,1.85,1.19,-1.05,0.05,17
Marco Silva,Forward,Premier League,4.01,0.0,0.11,0.2,0.45,30
Santi Costa,Defender,La Liga,17.46,1.08,0.28,1.54,0.06,28
Enzo Martinez,Defender,Serie A,25.16,0.78,-0.0,1.82,0.05,30
Julian Rodriguez,Midfielder,Serie A,14.07,1.38,3.74,1.7,-0.0,32
Enzo Santos,Defender,Bundesliga,4.38,0.56,0.78,0.2,0.43,28
Marco Silva,Defender,Ligue 1,2.89,1.08,0.01,0.22,0.48,31
Mateo Lopez,Defender,Ligue 1,33.71,1.99,2.9,2.97,0.05,24
Santi Rodriguez,Forward,La Liga,35.25,1.8,0.43,0.19,0.75,27
Marco Rodriguez,Forward,Serie A,25.33,1.96,3.59,1.48,0.06,32
Julian Martinez,Midfielder,La Liga,18.48,0.88,1.78,1.97,0.05,21
Leo Costa,Forward,Ligue 1,19.32,2.38,1.63,2.13,0.14,34
Enzo Rodriguez,Goalkeeper,Bundesliga,26.32,2.25,3.05,2.04,0.02,21
Diego Martinez,Defender,Premier League,20.84,0.81,0.12,0.13,0.25,27
Enzo Oliveira,Forward,La Liga,37.71,1.11,1.91,0.43,0.07,22
Leo Rodriguez,Midfielder,Premier League,2.17,2.32,1.66,1.96,0.08,28
Diego Oliveira,Goalkeeper,Ligue 1,33.1,0.61,0.06,0.05,0.41,33
Enzo Martinez,Forward,Ligue 1,16.04,1.43,1.8,2.09,0.12,23
Mateo Oliveira,Defender,La Liga,19.92,1.98,1.57,0.28,-0.0,19
Enzo Garcia,Defender,Serie A,5.15,1.37,0.27,0.17,0.6,28
Julian Lopez,Forward,Premier League,18.18,1.1,0.5,0.27,0.5,23
Julian Garcia,Defender,Bundesliga,22.0,1.24,1.79,1.65,0.07,28
Mateo Rodriguez,Forward,Premier League,11.0,2.03,0.29,0.26,0.31,20
Leo Oliveira,Forward,La Liga,21.46,0.92,1.84,1.31,0.05,23
Enzo Rodriguez,Midfielder,Bundesliga,3.6,1.4,0.32,0.28,0.27,19
Lucas Costa,Midfielder,Serie A,0.99,1.16,0.38,0.24,0.29,20
Hugo Rodriguez,Defender,Bundesliga,16.04,0.77,0.26,-0.01,0.38,21
Hugo Rodriguez,Forward,Premier League,21.92,-0.38,3.23,2.95,0.04,23
Mateo Martinez,Midfielder,Ligue 1,24.04,1.0,3.65,2.71,0.07,27
Julian Fernandez,Forward,Bundesliga,38.5,1.81,2.62,1.17,0.1,22
Leo Santos,Defender,Premier League,11.8,2.65,3.31,2.51,0.08,28
Lucas Rodriguez,Midfielder,La Liga,11.61,1.15,0.06,0.06,0.34,24
Leo Santos,Goalkeeper,La Liga,36.29,0.58,0.64,0.24,0.34,32
Leo Santos,Goalkeeper,Serie A,6.15,0.69,0.08,0.28,0.72,24
Diego Garcia,Defender,Premier League,20.06,1.77,2.31,1.86,-0.02,33
Marco Fernandez,Goalkeeper,Serie A,6.47,2.39,2.19,2.09,0.14,29
Marco Diaz,Forward,La Liga,1.34,4.11,1.55,1.68,0.12,25
Leo Oliveira,Goalkeeper,Ligue 1,26.65,0.77,2.48,0.22,0.09,17
Gabriel Lopez,Defender,Ligue 1,38.11,0.76,2.58,0.93,0.04,26
Diego Martinez,Goalkeeper,Bundesliga,37.48,2.73,1.9,2.21,0.18,18
Mateo Garcia,Forward,Bundesliga,3.1,1.36,-0.09,0.35,0.48,31
Mateo Santos,Defender,Ligue 1,38.1,2.36,1.84,0.76,0.1,26
Santi Silva,Goalkeeper,Bundesliga,4.89,1.52,0.87,0.19,0.06,32
Mateo Silva,Goalkeeper,La Liga,7.91,1.96,2.29,1.46,0.04,26
Gabriel Martinez,Midfielder,Bundesliga,27.13,0.95,0.29,0.09,0.47,17
Marco Silva,Goalkeeper,Bundesliga,0.64,2.97,0.96,0.17,0.11,21
Gabriel Silva,Midfielder,Ligue 1,14.85,3.77,1.08,0.86,0.13,23
Santi Garcia,Forward,Ligue 1,26.06,2.05,2.53,1.13,0.14,30
Hugo Martinez,Forward,Ligue 1,24.99,1.61,-0.36,1.63,0.08,18
Enzo Lopez,Forward,Serie A,30.5,1.54,2.31,0.5,0.06,22
Julian Rodriguez,Defender,Bundesliga,30.59,1.73,1.34,1.22,0.05,33
Hugo Oliveira,Forward,La Liga,23.09,1.59,2.75,0.26,0.08,25
Gabriel Costa,Forward,Serie A,25.24,3.77,1.27,0.72,0.09,33
Diego Silva,Midfielder,Serie A,20.48,2.27,1.0,0.57,0.02,17
Leo Garcia,Forward,Ligue 1,29.65,1.37,0.22,0.08,0.36,27
Marco Rodriguez,Forward,Premier League,11.26,1.78,0.8,1.42,0.14,20
Lucas Fernandez,Forward,Premier League,2.93,0.81,0.42,0.16,0.47,30
Lucas Santos,Midfielder,Ligue 1,31.23,0.45,1.14,2.03,0.08,33
Marco Diaz,Midfielder,La Liga,23.1,2.29,2.61,2.57,0.01,33
Marco Oliveira,Forward,Premier League,22.17,2.0,0.69,1.15,0.11,32
Marco Diaz,Goalkeeper,La Liga,15.14,3.15,2.51,1.77,0.13,32
Santi Oliveira,Defender,Serie A,8.54,1.54,0.77,0.95,0.1,24
Gabriel Santos,Goalkeeper,La Liga,34.48,1.8,0.77,1.84,0.06,34
Diego Martinez,Forward,Premier League,6.98,0.87,0.48,0.24,0.54,20
Diego Silva,Midfielder,La Liga,36.85,1.22,2.03,2.06,0.03,33
Mateo Rodriguez,Midfielder,La Liga,5.22,0.81,0.18,0.22,0.56,30
Diego Fernandez,Forward,Premier League,4.41,1.18,3.14,0.81,0.08,22
Mateo Fernandez,Defender,Serie A,7.68,0.59,0.17,0.06,0.09,23
Leo Costa,Forward,Premier League,27.74,1.67,4.07,1.28,0.07,33
Marco Rodriguez,Goalkeeper,Serie A,10.23,2.68,1.54,1.6,0.05,17
Julian Fernandez,Goalkeeper,Ligue 1,10.86,0.73,0.41,0.1,0.13,27
Mateo Silva,Defender,Serie A,36.71,2.09,0.8,1.42,0.02,25
Lucas Costa,Midfielder,Bundesliga,20.03,1.81,2.44,0.62,0.11,17
Enzo Garcia,Midfielder,Premier League,23.03,1.83,2.22,3.11,0.08,20
